make,manufactured,reg_date,type_of_vehicle,transmission,power,engine_cap,no_of_owners,depreciation,coe,road_tax,dereg_value,mileage,omv,arf,price
bmw,2015.0,2015.0,hatchback,auto,100.0,1499.0,1.0,13000.0,60789.0,684.0,38479.0,58000.0,24923.0,21893.0,69100.0
porsche,2016.0,2016.0,suv,auto,185.0,1984.0,1.0,28210.0,57010.0,1194.0,96056.0,58000.0,69415.0,96947.0,206800.0
mitsubishi,2008.0,2008.0,mid-sized sedan,auto,79.0,1584.0,1.0,6410.0,30284.0,954.0,21630.0,120000.0,11931.0,11931.0,50400.0
jaguar,2019.0,2021.0,suv,auto,147.0,1997.0,1.0,15840.0,47001.0,1210.0,60153.0,80.0,29975.0,33965.0,185900.0
mercedes-benz,2018.0,2018.0,luxury sedan,auto,90.0,1595.0,1.0,14230.0,36426.0,740.0,52396.0,65900.0,31930.0,36702.0,127100.0
toyota,2016.0,2016.0,mpv,auto,105.0,1798.0,1.0,10950.0,53001.0,976.0,43006.0,75000.0,19955.0,19955.0,74700.0
toyota,2015.0,2016.0,suv,auto,111.0,1986.0,1.0,13050.0,47000.0,1196.0,40967.0,71000.0,28068.0,26296.0,83400.0
mercedes-benz,2020.0,2020.0,sports car,auto,310.0,1991.0,1.0,24410.0,40690.0,1202.0,107326.0,7000.0,67492.0,93486.0,297000.0
volkswagen,2010.0,2010.0,sports car,auto,188.0,1984.0,6.0,12760.0,35416.0,1433.0,30467.0,88605.0,37932.0,37932.0,120800.0
toyota,2016.0,2017.0,mpv,auto,134.0,2493.0,3.0,18970.0,46229.0,1792.0,63822.0,67339.0,42867.0,52014.0,140600.0
toyota,2017.0,2017.0,suv,auto,90.0,1797.0,2.0,11480.0,52751.0,974.0,36485.0,58339.0,27911.0,5000.0,81200.0
lexus,2019.0,2019.0,suv,auto,175.0,1998.0,1.0,17120.0,41001.0,1210.0,70526.0,29000.0,40963.0,49349.0,181300.0
volvo,2016.0,2016.0,luxury sedan,auto,90.0,1498.0,1.0,10950.0,48000.0,684.0,46005.0,59000.0,25281.0,27394.0,79000.0
hyundai,2009.0,2009.0,mid-sized sedan,auto,89.7,1591.0,2.0,6790.0,13088.0,959.0,7007.0,150000.0,11706.0,2312.0,20000.0
volkswagen,2009.0,2009.0,sports car,auto,118.0,1390.0,4.0,9880.0,13088.0,806.0,7021.0,182609.0,23955.0,23955.0,29200.0
jaguar,2018.0,2018.0,suv,auto,183.0,1997.0,1.0,16630.0,37000.0,1210.0,57640.0,58000.0,37152.0,44013.0,149400.0
mitsubishi,2018.0,2019.0,suv,auto,120.0,1499.0,1.0,11420.0,31101.0,684.0,44165.0,32665.0,25792.0,28109.0,108700.0
honda,2019.0,2019.0,hatchback,auto,73.0,1317.0,1.0,8040.0,29159.0,578.0,26581.0,28333.0,15425.0,5425.0,71300.0
toyota,2016.0,2016.0,mpv,auto,105.0,1797.0,3.0,11260.0,56889.0,974.0,43514.0,61012.0,19696.0,19696.0,73500.0
mercedes-benz,2018.0,2019.0,suv,auto,155.0,1991.0,2.0,20280.0,34381.0,1202.0,86651.0,33000.0,59842.0,79716.0,218200.0
audi,2017.0,2018.0,luxury sedan,auto,140.0,1984.0,2.0,12520.0,37989.0,1194.0,54525.0,62313.0,33209.0,38493.0,114200.0
mitsubishi,2015.0,2015.0,suv,auto,110.0,1998.0,2.0,10420.0,58190.0,1210.0,35423.0,94000.0,15143.0,15143.0,57200.0
mercedes-benz,2016.0,2017.0,sports car,auto,270.0,2996.0,3.0,26900.0,48209.0,2382.0,128114.0,43000.0,90770.0,135386.0,237600.0
mercedes-benz,2012.0,2013.0,stationwagon,auto,225.0,3498.0,1.0,27000.0,95501.0,3164.0,61105.0,98000.0,86220.0,86220.0,90000.0
mazda,2008.0,2008.0,hatchback,auto,77.0,1498.0,3.0,7940.0,13786.0,889.0,6179.0,110000.0,14359.0,14359.0,19600.0
bmw,2010.0,2010.0,luxury sedan,auto,100.0,1995.0,5.0,6920.0,33568.0,1329.0,29981.0,167000.0,27679.0,27679.0,68000.0
mini,2020.0,2020.0,sports car,auto,100.0,1499.0,1.0,15020.0,32889.0,684.0,58158.0,17000.0,33324.0,38654.0,167800.0
mercedes-benz,2019.0,2021.0,sports car,auto,225.0,1991.0,1.0,21760.0,60001.0,1202.0,101282.0,2730.0,46751.0,57452.0,263800.0
hyundai,2017.0,2017.0,mid-sized sedan,auto,93.8,1591.0,1.0,8430.0,46791.0,738.0,36960.0,60000.0,10360.0,10360.0,63600.0
honda,2007.0,2007.0,mid-sized sedan,auto,114.0,1998.0,3.0,8270.0,50972.0,1815.0,30066.0,130000.0,20535.0,22589.0,53700.0
honda,2017.0,2017.0,stationwagon,auto,101.0,1496.0,1.0,10590.0,49899.0,682.0,33512.0,50263.0,26421.0,5000.0,72400.0
porsche,2018.0,2018.0,sports car,auto,243.0,2995.0,1.0,39530.0,39000.0,2380.0,169634.0,44478.0,121209.0,190177.0,405700.0
toyota,2015.0,2016.0,mpv,auto,80.0,1496.0,3.0,10860.0,47300.0,682.0,28572.0,70676.0,18846.0,8846.0,61400.0
mercedes-benz,2012.0,2013.0,luxury sedan,auto,150.0,1796.0,2.0,19420.0,58090.0,974.0,39258.0,76000.0,49005.0,55607.0,62500.0
nissan,2008.0,2009.0,mid-sized sedan,auto,80.0,1498.0,5.0,6140.0,25727.0,889.0,19179.0,155000.0,18697.0,2717.0,50400.0
kia,2017.0,2017.0,mid-sized sedan,auto,95.3,1591.0,1.0,8380.0,46778.0,738.0,37717.0,73000.0,12918.0,12918.0,62400.0
kia,2015.0,2016.0,luxury sedan,auto,120.0,1999.0,1.0,9970.0,38610.0,1212.0,36918.0,89990.0,25662.0,27927.0,64700.0
audi,2016.0,2016.0,luxury sedan,auto,110.0,1395.0,2.0,14670.0,57002.0,624.0,49101.0,80000.0,32178.0,27050.0,96500.0
honda,2016.0,2017.0,stationwagon,auto,97.0,1496.0,1.0,9430.0,51106.0,682.0,35133.0,80000.0,17864.0,7864.0,63700.0
mercedes-benz,2020.0,2021.0,suv,auto,200.0,1991.0,1.0,24660.0,49001.0,1202.0,100566.0,80.0,55810.0,72458.0,295700.0
mercedes-benz,2008.0,2009.0,luxury sedan,auto,135.0,1796.0,4.0,8150.0,33018.0,1266.0,25103.0,200000.0,44199.0,44199.0,68200.0
honda,2008.0,2008.0,mpv,auto,103.0,1799.0,2.0,6680.0,36888.0,1369.0,25306.0,150000.0,18248.0,18248.0,50400.0
mercedes-benz,2018.0,2019.0,luxury sedan,auto,145.0,1497.0,1.0,16390.0,42564.0,684.0,73347.0,18000.0,43583.0,53017.0,171400.0
toyota,2015.0,2016.0,mpv,auto,134.0,2493.0,1.0,18840.0,38610.0,1792.0,46673.0,55126.0,35594.0,41832.0,116400.0
bmw,2011.0,2011.0,hatchback,auto,125.0,1598.0,3.0,8240.0,42283.0,742.0,40951.0,97000.0,32661.0,32661.0,87800.0
audi,2017.0,2018.0,luxury sedan,auto,140.0,1798.0,1.0,15000.0,34381.0,976.0,64163.0,41000.0,43963.0,53549.0,144600.0
bmw,2019.0,2019.0,suv,auto,135.0,1998.0,1.0,21060.0,40000.0,1210.0,73721.0,36000.0,47396.0,58355.0,219800.0
mitsubishi,2015.0,2016.0,mid-sized sedan,auto,86.0,1590.0,2.0,8560.0,43000.0,738.0,29104.0,78988.0,13472.0,13472.0,50500.0
audi,2018.0,2018.0,luxury sedan,auto,140.0,1984.0,1.0,16850.0,32001.0,1194.0,57976.0,36339.0,39562.0,47387.0,156000.0
jaguar,2014.0,2017.0,luxury sedan,auto,177.0,1999.0,3.0,14510.0,50000.0,1212.0,93591.0,62000.0,62826.0,85087.0,141900.0
toyota,2015.0,2016.0,mid-sized sedan,auto,90.0,1598.0,1.0,10570.0,46651.0,742.0,34456.0,71000.0,19589.0,19589.0,62500.0
hyundai,2017.0,2018.0,mid-sized sedan,auto,93.8,1591.0,1.0,7640.0,24400.0,238.0,25997.0,49856.0,13859.0,13859.0,61400.0
hyundai,2017.0,2017.0,mid-sized sedan,auto,93.8,1591.0,1.0,7460.0,27002.0,238.0,25644.0,50000.0,12739.0,12739.0,55900.0
mercedes-benz,2015.0,2015.0,luxury sedan,auto,155.0,1991.0,2.0,14560.0,75000.0,1202.0,65188.0,165000.0,49376.0,56127.0,92200.0
honda,2009.0,2010.0,luxury sedan,auto,151.0,2354.0,3.0,7480.0,40014.0,1791.0,36868.0,94000.0,31168.0,31168.0,75800.0
bmw,2012.0,2016.0,sports car,auto,412.0,4395.0,4.0,33940.0,47000.0,4568.0,138615.0,43000.0,108276.0,166897.0,264900.0
suzuki,2008.0,2009.0,hatchback,auto,92.0,1586.0,5.0,6750.0,25525.0,957.0,19217.0,129000.0,16265.0,16265.0,55900.0
lexus,2010.0,2010.0,luxury sedan,auto,153.0,2500.0,4.0,7620.0,40714.0,1980.0,37847.0,124000.0,38280.0,38280.0,77900.0
toyota,2008.0,2008.0,suv,auto,80.0,1495.0,5.0,8470.0,18583.0,955.0,6934.0,160802.0,14366.0,12114.0,17400.0
mazda,2016.0,2016.0,mid-sized sedan,auto,88.0,1496.0,1.0,9550.0,50991.0,682.0,37512.0,88000.0,19848.0,14848.0,62500.0
bmw,2017.0,2017.0,suv,auto,135.0,1997.0,1.0,18020.0,48109.0,1210.0,65070.0,84821.0,39403.0,47165.0,148300.0
alfa romeo,2010.0,2012.0,hatchback,auto,99.0,1368.0,2.0,10110.0,58001.0,608.0,15531.0,130000.0,22258.0,22258.0,20700.0
nissan,2015.0,2015.0,suv,auto,106.0,1997.0,2.0,11590.0,58801.0,1210.0,40467.0,58000.0,22233.0,23127.0,66000.0
land rover,2017.0,2017.0,suv,auto,110.0,1999.0,1.0,15400.0,53001.0,1812.0,68244.0,63600.0,41613.0,50259.0,125300.0
nissan,2016.0,2016.0,suv,auto,106.0,1997.0,2.0,11370.0,55089.0,1210.0,41591.0,101000.0,22509.0,23513.0,70200.0
mitsubishi,2018.0,2018.0,suv,auto,120.0,1499.0,2.0,11170.0,33900.0,684.0,43882.0,35500.0,24845.0,26783.0,101000.0
mazda,2016.0,2016.0,mpv,auto,111.0,1998.0,1.0,10140.0,49501.0,1210.0,36486.0,87000.0,19211.0,19211.0,62500.0
land rover,2013.0,2014.0,suv,auto,215.0,2993.0,3.0,42910.0,83000.0,3376.0,102802.0,75888.0,92510.0,138518.0,193500.0
toyota,2016.0,2016.0,mid-sized sedan,auto,90.0,1598.0,1.0,10190.0,47300.0,742.0,34773.0,62000.0,17982.0,17982.0,62500.0
mercedes-benz,2011.0,2011.0,luxury sedan,auto,115.0,1597.0,2.0,7930.0,42283.0,816.0,40951.0,120600.0,31086.0,31086.0,84500.0
mini,2018.0,2019.0,sports car,auto,141.0,1998.0,2.0,15430.0,31001.0,1210.0,56419.0,11000.0,37307.0,44230.0,151600.0
porsche,2019.0,2020.0,suv,auto,250.0,2995.0,1.0,39190.0,36000.0,2380.0,143295.0,31097.0,98993.0,150188.0,449700.0
land rover,2016.0,2016.0,suv,auto,177.0,1999.0,2.0,19520.0,57010.0,1212.0,81088.0,66200.0,57982.0,76368.0,146100.0
suzuki,2019.0,2019.0,suv,auto,82.0,998.0,1.0,7970.0,26999.0,392.0,35132.0,31000.0,18507.0,18507.0,79200.0
audi,2017.0,2018.0,luxury sedan,auto,140.0,1984.0,2.0,12750.0,38501.0,1194.0,54700.0,75000.0,33207.0,38490.0,115300.0
bmw,2017.0,2018.0,luxury sedan,auto,190.0,1998.0,1.0,24310.0,38389.0,1210.0,111650.0,31000.0,79348.0,114827.0,246200.0
bmw,2019.0,2019.0,sports car,auto,145.0,1998.0,1.0,22860.0,40889.0,1210.0,78193.0,14000.0,48619.0,60067.0,243100.0
honda,2007.0,2008.0,mpv,auto,103.0,1799.0,2.0,6350.0,50168.0,1369.0,31448.0,210000.0,15444.0,15994.0,43800.0
honda,2008.0,2010.0,stationwagon,auto,81.0,1496.0,3.0,7670.0,14743.0,818.0,9145.0,143800.0,17429.0,17429.0,26200.0
mercedes-benz,2019.0,2019.0,luxury sedan,auto,190.0,1991.0,1.0,21050.0,41805.0,1202.0,97224.0,20000.0,61824.0,83284.0,238400.0
nissan,2018.0,2019.0,suv,auto,85.0,1197.0,1.0,9970.0,26309.0,508.0,35349.0,45000.0,20399.0,20559.0,94400.0
mazda,2019.0,2021.0,mid-sized sedan,auto,88.0,1496.0,1.0,8770.0,42000.0,682.0,45135.0,13000.0,21408.0,6972.0,95500.0
mercedes-benz,2016.0,2016.0,luxury sedan,auto,90.0,1595.0,1.0,14930.0,53334.0,740.0,46592.0,90000.0,27886.0,26041.0,97700.0
bmw,2015.0,2015.0,suv,auto,225.0,2979.0,3.0,20950.0,75801.0,2362.0,96451.0,86600.0,73578.0,104441.0,145200.0
toyota,2009.0,2009.0,mpv,auto,106.0,1797.0,6.0,7260.0,35411.0,1169.0,27213.0,112153.0,21794.0,21794.0,61400.0
toyota,2008.0,2008.0,mid-sized sedan,auto,81.0,1496.0,4.0,7710.0,15142.0,887.0,6480.0,147230.0,13319.0,13319.0,18200.0
audi,2014.0,2014.0,luxury sedan,auto,90.0,1395.0,2.0,14360.0,61899.0,624.0,27272.0,88000.0,28020.0,16228.0,53700.0
kia,2017.0,2017.0,suv,auto,147.0,2199.0,1.0,12850.0,49802.0,2126.0,58557.0,97000.0,33232.0,38525.0,105400.0
mitsubishi,2008.0,2009.0,sports car,auto,206.0,1998.0,1.0,20230.0,31335.0,1573.0,23231.0,112000.0,46023.0,46023.0,165000.0
nissan,2015.0,2015.0,mid-sized sedan,auto,85.0,1598.0,3.0,9100.0,57089.0,742.0,34890.0,90000.0,16439.0,16439.0,50100.0
volkswagen,2011.0,2011.0,mid-sized sedan,auto,118.0,1390.0,3.0,8290.0,42283.0,682.0,40731.0,145000.0,24357.0,24357.0,87900.0
honda,2008.0,2009.0,hatchback,auto,73.0,1339.0,6.0,8410.0,13024.0,767.0,6130.0,133000.0,12367.0,9595.0,21800.0
kia,2009.0,2009.0,mid-sized sedan,auto,92.7,1591.0,3.0,7700.0,14743.0,886.0,9145.0,140000.0,11217.0,9956.0,26300.0
mercedes-benz,2018.0,2019.0,hatchback,auto,120.0,1332.0,2.0,14760.0,41361.0,586.0,57205.0,28000.0,28088.0,31324.0,149600.0
mercedes-benz,2016.0,2017.0,hatchback,auto,115.0,1595.0,2.0,14880.0,53106.0,740.0,46017.0,65000.0,25411.0,22576.0,102100.0
ssangyong,2016.0,2016.0,suv,auto,94.1,1597.0,1.0,8890.0,53694.0,742.0,38744.0,73200.0,17080.0,17080.0,58200.0
mercedes-benz,2019.0,2019.0,suv,auto,190.0,1991.0,1.0,22900.0,34000.0,1202.0,74508.0,6000.0,49980.0,61972.0,241800.0
bmw,2019.0,2019.0,hatchback,auto,80.0,1499.0,1.0,10480.0,33009.0,684.0,52921.0,63000.0,30044.0,34062.0,114300.0
nissan,2015.0,2015.0,suv,auto,85.0,1197.0,1.0,10230.0,56001.0,508.0,32541.0,46502.0,18413.0,13413.0,53900.0
honda,2008.0,2008.0,hatchback,auto,73.0,1339.0,4.0,8390.0,19096.0,826.0,6739.0,137000.0,12084.0,12084.0,16300.0
honda,2018.0,2019.0,mpv,auto,101.0,1496.0,1.0,11450.0,35310.0,682.0,40142.0,63000.0,26445.0,19023.0,105100.0
nissan,2017.0,2017.0,suv,auto,85.0,1197.0,2.0,11050.0,51600.0,508.0,39606.0,73537.0,18583.0,13583.0,76800.0
bmw,2016.0,2016.0,luxury sedan,auto,180.0,1997.0,2.0,17590.0,56340.0,1210.0,74232.0,82888.0,48361.0,59706.0,134100.0
lexus,2015.0,2015.0,luxury sedan,auto,135.0,2494.0,1.0,16480.0,75000.0,1792.0,59752.0,62000.0,39966.0,47953.0,95500.0
toyota,2016.0,2016.0,mid-sized sedan,auto,90.0,1598.0,1.0,10410.0,51506.0,742.0,41127.0,103608.0,19990.0,19990.0,69100.0
mercedes-benz,2018.0,2019.0,luxury sedan,auto,115.0,1595.0,2.0,16740.0,31001.0,740.0,54854.0,41000.0,36172.0,42641.0,159300.0
mercedes-benz,2015.0,2016.0,luxury sedan,auto,155.0,1991.0,2.0,17030.0,51010.0,1202.0,72106.0,115000.0,53339.0,68011.0,127400.0
honda,2016.0,2016.0,suv,auto,96.0,1496.0,2.0,9930.0,50951.0,682.0,36204.0,84000.0,21572.0,12201.0,64700.0
bmw,2013.0,2013.0,luxury sedan,auto,100.0,1598.0,2.0,14150.0,62497.0,742.0,26080.0,75000.0,33029.0,28241.0,41800.0
toyota,2018.0,2018.0,suv,auto,170.0,1998.0,1.0,13640.0,37605.0,1210.0,51220.0,37520.0,30808.0,35132.0,118600.0
toyota,2016.0,2016.0,mpv,auto,80.0,1496.0,3.0,10910.0,52301.0,682.0,32636.0,52000.0,19552.0,9552.0,64800.0
jaguar,2014.0,2014.0,sports car,auto,405.0,5000.0,2.0,41220.0,74000.0,5514.0,138002.0,35000.0,112348.0,174227.0,247500.0
alfa romeo,2013.0,2014.0,hatchback,auto,125.0,1368.0,3.0,11770.0,72810.0,608.0,34224.0,105000.0,26321.0,18850.0,49500.0
mazda,2015.0,2016.0,mid-sized sedan,auto,88.0,1496.0,1.0,10130.0,51301.0,682.0,31962.0,64000.0,17812.0,12812.0,57000.0
mercedes-benz,2017.0,2017.0,luxury sedan,auto,135.0,1991.0,1.0,18450.0,47002.0,1202.0,68161.0,56341.0,46030.0,51442.0,156000.0
audi,2018.0,2018.0,suv,auto,260.0,2995.0,1.0,26610.0,34381.0,2380.0,90350.0,15000.0,64703.0,88466.0,253000.0
bmw,2011.0,2011.0,luxury sedan,auto,150.0,2497.0,2.0,8780.0,47316.0,1976.0,45825.0,132000.0,44769.0,44769.0,93500.0
honda,2018.0,2020.0,suv,auto,96.0,1496.0,1.0,9650.0,40556.0,682.0,47825.0,6400.0,22330.0,13262.0,106500.0
honda,2016.0,2017.0,stationwagon,auto,97.0,1496.0,1.0,9920.0,42801.0,682.0,30943.0,48000.0,17908.0,7908.0,68100.0
toyota,2012.0,2013.0,mpv,auto,206.0,3456.0,2.0,23130.0,83001.0,3100.0,49881.0,108000.0,50916.0,63649.0,81300.0
toyota,2019.0,2020.0,suv,auto,127.0,1987.0,1.0,12880.0,35889.0,1198.0,56371.0,12000.0,28957.0,32540.0,144100.0
subaru,2017.0,2017.0,mid-sized sedan,auto,115.0,1995.0,1.0,9080.0,48011.0,1208.0,40619.0,85936.0,14416.0,14416.0,71300.0
nissan,2016.0,2016.0,suv,auto,85.0,1197.0,1.0,10400.0,50000.0,508.0,35733.0,72000.0,18689.0,13689.0,65800.0
porsche,2017.0,2017.0,suv,auto,185.0,1984.0,3.0,26540.0,57390.0,1194.0,99860.0,80000.0,62714.0,84886.0,230800.0
bmw,2017.0,2017.0,sports car,auto,185.0,1998.0,1.0,23460.0,48109.0,1210.0,75603.0,26303.0,49787.0,61702.0,191300.0
mercedes-benz,2018.0,2018.0,luxury sedan,auto,135.0,1991.0,1.0,18440.0,32552.0,1202.0,74846.0,29726.0,54295.0,69731.0,184600.0
honda,2009.0,2009.0,luxury sedan,auto,115.0,1997.0,1.0,8810.0,19565.0,1452.0,12790.0,159095.0,31922.0,31922.0,31700.0
mercedes-benz,2020.0,2021.0,luxury sedan,auto,336.0,2999.0,1.0,46610.0,60001.0,2384.0,196985.0,88.0,118133.0,184640.0,601500.0
hyundai,2019.0,2019.0,hatchback,auto,95.6,1353.0,1.0,9470.0,31917.0,600.0,39119.0,23000.0,17951.0,17951.0,93600.0
hyundai,2009.0,2009.0,hatchback,auto,89.7,1591.0,4.0,8010.0,14664.0,886.0,8710.0,138000.0,13585.0,13585.0,26200.0
skoda,2019.0,2020.0,mid-sized sedan,auto,180.0,1984.0,1.0,15410.0,41510.0,1194.0,60462.0,12600.0,27446.0,30425.0,170500.0
nissan,2017.0,2017.0,hatchback,auto,85.0,1197.0,2.0,8820.0,51600.0,508.0,34969.0,67500.0,17532.0,7532.0,59300.0
bmw,2017.0,2017.0,hatchback,auto,85.0,1496.0,1.0,11250.0,42900.0,1082.0,42442.0,72128.0,28674.0,22144.0,86700.0
toyota,2017.0,2017.0,suv,auto,90.0,1797.0,2.0,11150.0,52872.0,974.0,38778.0,58000.0,32399.0,7359.0,81200.0
audi,2017.0,2017.0,luxury sedan,auto,85.0,999.0,1.0,11770.0,46489.0,392.0,39043.0,63000.0,24616.0,16463.0,83400.0
kia,2017.0,2017.0,mid-sized sedan,auto,95.3,1591.0,1.0,9050.0,42902.0,738.0,35792.0,62800.0,12665.0,12665.0,68000.0
toyota,2018.0,2019.0,suv,auto,90.0,1797.0,2.0,11080.0,36961.0,974.0,44195.0,157000.0,28205.0,21487.0,104400.0
mercedes-benz,2017.0,2017.0,luxury sedan,auto,135.0,1991.0,2.0,18140.0,56410.0,1202.0,80923.0,61000.0,52579.0,66643.0,146100.0
volvo,2017.0,2017.0,suv,auto,187.0,1969.0,1.0,17740.0,52751.0,1176.0,66464.0,59000.0,38070.0,45298.0,145200.0
bmw,2018.0,2018.0,luxury sedan,auto,135.0,1998.0,1.0,20990.0,31001.0,1210.0,70205.0,72289.0,51648.0,64967.0,195800.0
mclaren,2018.0,2021.0,sports car,auto,530.0,3994.0,2.0,85360.0,49778.0,3940.0,316162.0,1200.0,222496.0,372493.0,1097800.0
bmw,2019.0,2019.0,mpv,auto,80.0,1499.0,1.0,12200.0,30009.0,684.0,50849.0,30000.0,31833.0,36567.0,124900.0
kia,2016.0,2016.0,mid-sized sedan,auto,95.3,1591.0,2.0,9190.0,43000.0,738.0,29630.0,119000.0,14593.0,14593.0,53700.0
bmw,2019.0,2019.0,luxury sedan,auto,135.0,1998.0,1.0,19500.0,41805.0,1210.0,84002.0,15907.0,52437.0,66387.0,212100.0
bmw,2018.0,2018.0,hatchback,auto,85.0,1496.0,1.0,12320.0,38941.0,1082.0,45742.0,74000.0,31486.0,26081.0,105500.0
toyota,2015.0,2016.0,mid-sized sedan,auto,90.0,1598.0,1.0,10440.0,45000.0,742.0,34449.0,103000.0,19589.0,19589.0,63700.0
nissan,2016.0,2016.0,suv,auto,106.0,1997.0,1.0,11410.0,49156.0,1210.0,40654.0,44750.0,22572.0,23601.0,74600.0
nissan,2014.0,2015.0,suv,auto,85.0,1197.0,1.0,11130.0,57199.0,508.0,26188.0,94872.0,19382.0,9382.0,48200.0
audi,2017.0,2018.0,suv,auto,85.0,999.0,3.0,12010.0,38389.0,392.0,48383.0,55671.0,27220.0,30108.0,105400.0
bentley,2018.0,2019.0,luxury sedan,auto,388.0,3993.0,1.0,60400.0,39728.0,3940.0,259976.0,30000.0,185176.0,305317.0,686200.0
toyota,2014.0,2014.0,mpv,auto,112.0,1986.0,1.0,13860.0,74000.0,1196.0,41014.0,80000.0,23648.0,25108.0,64700.0
mercedes-benz,2019.0,2019.0,luxury sedan,auto,115.0,1595.0,1.0,16070.0,37000.0,740.0,65511.0,21088.0,38805.0,46327.0,172500.0
mercedes-benz,2011.0,2011.0,luxury sedan,auto,115.0,1597.0,2.0,7890.0,45272.0,742.0,44602.0,99182.0,31019.0,31019.0,85600.0
nissan,2016.0,2016.0,suv,auto,85.0,1197.0,1.0,10300.0,53000.0,508.0,35806.0,84815.0,18689.0,13689.0,63600.0
audi,2017.0,2017.0,suv,auto,185.0,1984.0,1.0,17450.0,49996.0,1194.0,72466.0,128447.0,44882.0,54835.0,150500.0
mercedes-benz,2018.0,2018.0,luxury sedan,auto,135.0,1991.0,1.0,18570.0,31301.0,1202.0,74886.0,52218.0,54295.0,69731.0,185800.0
hyundai,2009.0,2009.0,mid-sized sedan,auto,89.7,1591.0,3.0,5400.0,26175.0,886.0,20115.0,130000.0,11224.0,11224.0,45700.0
land rover,2019.0,2019.0,suv,auto,183.0,1997.0,1.0,20340.0,39889.0,1210.0,83126.0,4500.0,53999.0,69199.0,215500.0
toyota,2017.0,2017.0,suv,auto,90.0,1797.0,2.0,11810.0,53711.0,974.0,37625.0,58720.0,30694.0,5000.0,84700.0
skoda,2018.0,2018.0,luxury sedan,auto,162.0,1984.0,1.0,12770.0,31809.0,1194.0,45379.0,26000.0,27255.0,30157.0,119800.0
honda,2016.0,2017.0,mid-sized sedan,auto,88.0,1497.0,1.0,9150.0,49751.0,684.0,36436.0,78000.0,17760.0,12760.0,61400.0
subaru,2016.0,2017.0,suv,auto,110.0,1995.0,1.0,11710.0,48209.0,1208.0,38013.0,80000.0,14759.0,14759.0,80100.0
audi,2017.0,2017.0,suv,auto,85.0,999.0,1.0,13350.0,45201.0,392.0,39796.0,64000.0,26085.0,18519.0,94400.0
nissan,2017.0,2017.0,suv,auto,85.0,1197.0,1.0,10880.0,41617.0,508.0,36842.0,50000.0,19750.0,14750.0,82300.0
kia,2020.0,2020.0,suv,auto,148.0,2151.0,1.0,16380.0,41101.0,2052.0,69817.0,6700.0,35680.0,41952.0,191200.0
mercedes-benz,2020.0,2020.0,luxury sedan,auto,95.0,1497.0,1.0,14780.0,35990.0,684.0,63457.0,19178.0,34165.0,39831.0,173600.0
volkswagen,2015.0,2015.0,sports car,auto,90.0,1390.0,3.0,11570.0,57089.0,620.0,36533.0,73000.0,19121.0,19121.0,62100.0
bmw,2018.0,2018.0,luxury sedan,auto,135.0,1998.0,1.0,16710.0,32551.0,1210.0,64542.0,40275.0,45907.0,56270.0,157100.0
subaru,2017.0,2017.0,mid-sized sedan,auto,84.0,1600.0,1.0,9190.0,47112.0,744.0,39191.0,82000.0,13102.0,13102.0,70200.0
toyota,2019.0,2020.0,mpv,auto,100.0,1797.0,1.0,12500.0,32500.0,974.0,48356.0,12845.0,33992.0,29589.0,136200.0
jaguar,2012.0,2013.0,luxury sedan,auto,250.0,2995.0,2.0,32680.0,97889.0,2380.0,57074.0,132002.0,76951.0,76951.0,97800.0
hyundai,2009.0,2009.0,hatchback,auto,89.7,1591.0,2.0,7250.0,13943.0,959.0,7617.0,123000.0,13577.0,13577.0,21800.0
honda,2016.0,2017.0,suv,auto,96.0,1496.0,1.0,9380.0,46778.0,682.0,36600.0,71000.0,21118.0,11566.0,68000.0
mercedes-benz,2018.0,2019.0,hatchback,auto,100.0,1332.0,1.0,12870.0,35403.0,586.0,53068.0,18800.0,30464.0,34650.0,127400.0
bmw,2013.0,2013.0,luxury sedan,auto,135.0,1997.0,2.0,15170.0,79300.0,1210.0,44377.0,53674.0,40596.0,43835.0,62200.0
toyota,2018.0,2018.0,suv,auto,170.0,1998.0,1.0,12680.0,31301.0,1210.0,48669.0,70000.0,30806.0,35129.0,118800.0
honda,2006.0,2006.0,luxury sedan,auto,125.0,2354.0,3.0,7220.0,51630.0,2442.0,25376.0,145000.0,30665.0,33732.0,39000.0
bmw,2013.0,2013.0,luxury sedan,auto,100.0,1598.0,2.0,15960.0,64839.0,742.0,27053.0,123900.0,33018.0,28226.0,46800.0
mercedes-benz,2016.0,2016.0,luxury sedan,auto,135.0,1991.0,2.0,17910.0,56500.0,1202.0,78818.0,100000.0,52554.0,66598.0,137300.0
porsche,2014.0,2014.0,suv,auto,250.0,2997.0,3.0,34730.0,65001.0,2382.0,91176.0,74012.0,75401.0,107722.0,183600.0
bmw,2007.0,2008.0,sports car,auto,200.0,2996.0,2.0,9130.0,50168.0,3335.0,31448.0,113000.0,36681.0,40350.0,64700.0
audi,2015.0,2016.0,hatchback,auto,70.0,999.0,1.0,11250.0,45504.0,392.0,25330.0,32000.0,21196.0,6675.0,59800.0
bmw,2014.0,2015.0,luxury sedan,auto,180.0,1997.0,4.0,20950.0,78001.0,1210.0,68665.0,105000.0,52948.0,62307.0,117500.0
mini,2017.0,2017.0,sports car,auto,141.0,1998.0,2.0,14990.0,52000.0,1210.0,61754.0,29758.0,34879.0,40831.0,125200.0
