,make,model,manufactured,reg_date,type_of_vehicle,category,transmission,curb_weight,power,fuel_type,engine_cap,no_of_owners,depreciation,coe,road_tax,dereg_value,mileage,omv,arf,price
1131,isuzu,fvr34,2015.0,12-may-2016,truck,-,manual,7300.0,133.66807772380292,diesel,7790.0,1.0,13050.0,27632.0,1341.5123687119956,12877.0,73207.97487437187,50982.0,2550.0,66900.0
1132,bmw,316i,2014.0,26-sep-2014,luxury sedan,"parf car, premium ad car",auto,1405.0,100.0,,1598.0,3.0,13870.0,74403.0,742.0,38080.0,121031.0,29959.0,23943.0,60300.0
1133,honda,civic,2016.0,07-oct-2016,mid-sized sedan,parf car,auto,1249.0,92.0,,1597.0,2.0,10310.0,53334.0,742.0,41914.0,89300.0,19491.0,19491.0,68800.0
1134,mercedes-benz,c180,2017.0,15-may-2017,luxury sedan,"parf car, low mileage car",auto,1425.0,115.0,,1595.0,2.0,16340.0,54000.0,740.0,62956.0,40261.0,36252.0,42753.0,126300.0
1135,mercedes-benz,a250,2019.0,06-dec-2019,luxury sedan,"parf car, premium ad car, low mileage car",auto,1375.0,165.0,,1991.0,2.0,21060.0,40009.0,1202.0,69608.0,11000.0,40438.0,48614.0,218700.0
1136,volvo,s60,2017.0,26-jul-2017,luxury sedan,"parf car, direct owner sale",auto,1589.0,90.0,,1498.0,1.0,10980.0,44002.0,684.0,46771.0,90000.0,25458.0,27642.0,86700.0
1137,audi,a4,2015.0,30-mar-2016,luxury sedan,"parf car, premium ad car",auto,1450.0,110.0,,1395.0,1.0,14410.0,48002.0,624.0,45404.0,60000.0,33395.0,33753.0,91100.0
1138,mercedes-benz,c180,2013.0,20-dec-2013,luxury sedan,parf car,auto,1485.0,115.0,,1595.0,3.0,14510.0,83751.0,740.0,36413.0,102900.0,29525.0,28335.0,52600.0
1139,honda,vezel,2016.0,09-feb-2017,suv,"parf car, premium ad car, hybrid cars",auto,1280.0,112.0,petrol-electric,1496.0,1.0,10860.0,51109.0,682.0,31657.0,65258.0,28923.0,5000.0,68000.0
1140,suzuki,swift,2009.0,18-mar-2009,hatchback,"coe car, premium ad car",manual,1090.0,92.0,,1586.0,2.0,7380.0,25525.0,957.0,19308.0,150223.0,15316.0,15316.0,61400.0
1141,mazda,2,2008.0,05-jun-2008,sports car,"coe car, premium ad car, low mileage car",auto,1140.0,122.0,,1998.0,4.0,11180.0,37906.0,1694.0,25703.0,107204.0,26020.0,26020.0,83400.0
1142,toyota,allion,2008.0,20-mar-2008,mid-sized sedan,coe car,auto,1200.0,81.0,,1496.0,2.0,9460.0,19637.0,955.0,6144.0,150000.0,16007.0,14760.0,16300.0
1143,bmw,535i,2010.0,01-sep-2010,luxury sedan,"coe car, consignment car",auto,1775.0,225.0,,2979.0,4.0,10400.0,32914.0,2598.0,29695.0,73207.97487437187,52322.0,52322.0,103200.0
1144,nissan,urvan,2010.0,30-nov-2010,van,coe car,manual,1800.0,133.66807772380292,diesel,2953.0,2.0,6280.0,14268.0,1341.5123687119956,12173.0,165865.0,29445.0,1473.0,29500.0
1145,,corolla,2018.0,13-jun-2018,mid-sized sedan,"parf car, low mileage car",auto,1230.0,96.0,,1598.0,1.0,9840.0,38941.0,742.0,43303.0,19600.0,21858.0,22602.0,85700.0
1146,suzuki,swift,2019.0,11-mar-2020,hatchback,"parf car, premium ad car, low mileage car",auto,940.0,82.0,,998.0,1.0,8210.0,32699.0,392.0,39385.0,10672.0,15258.0,15258.0,85600.0
1147,nissan,x-trail,2017.0,28-apr-2017,suv,"parf car, premium ad car",auto,1626.0,106.0,,1997.0,1.0,11600.0,54406.0,1210.0,50592.0,70000.0,24596.0,26435.0,86700.0
1148,,hiace,2020.0,26-mar-2021,van,"almost new car, premium ad car",auto,1800.0,133.66807772380292,diesel,2754.0,1.0,8760.0,33040.0,1341.5123687119956,31673.0,73207.97487437187,33541.0,1678.0,92400.0
1149,,civic,2008.0,29-oct-2008,mid-sized sedan,"coe car, premium ad car",auto,1219.0,103.0,,1799.0,4.0,8450.0,16140.0,1271.0,7022.0,140000.0,22644.0,22644.0,20200.0
1150,bmw,320i,2008.0,29-dec-2008,luxury sedan,"coe car, premium ad car",auto,1390.0,115.0,,1995.0,4.0,8580.0,16689.0,1570.0,7005.0,73207.97487437187,37299.0,37299.0,19800.0
1151,bmw,116d,2016.0,30-nov-2016,hatchback,parf car,auto,1350.0,85.0,diesel,1496.0,2.0,11740.0,56889.0,1082.0,36240.0,53456.0,25133.0,12187.0,74700.0
1152,bmw,318i,2018.0,15-nov-2018,luxury sedan,parf car,auto,1425.0,100.0,,1499.0,1.0,13920.0,32900.0,684.0,51769.0,70000.0,33544.0,38962.0,131800.0
1153,volkswagen,touran,2020.0,05-mar-2021,mpv,"parf car, almost new car, premium ad car",auto,1478.0,110.0,,1395.0,1.0,13440.0,51900.0,624.0,61764.0,6000.0,26974.0,29764.0,157300.0
1155,mercedes-benz,amg,2020.0,01-feb-2021,suv,"parf car, almost new car, low mileage car",auto,1485.0,120.0,,1332.0,1.0,15380.0,45012.0,586.0,76009.0,4600.0,37631.0,44684.0,184300.0
1156,mercedes,benz,2020.0,22-oct-2020,hatchback,"parf car, almost new car",auto,1365.0,96.0,,1332.0,1.0,13820.0,38504.0,586.0,62600.0,15000.0,31737.0,36432.0,159300.0
1157,toyota,corolla,2019.0,04-oct-2019,mid-sized sedan,"parf car, premium ad car, low mileage car, sgcarmart warranty cars",auto,1230.0,96.0,,1598.0,1.0,9780.0,28589.0,742.0,39063.0,15202.0,20881.0,21234.0,98800.0
1158,mercedes-benz,amg,2021.0,14-jun-2021,suv,"parf car, rare & exotic, almost new car, premium ad car, low mileage car, hybrid cars",auto,1554.5509259259259,336.0,petrol-electric,2999.0,1.0,37400.0,46790.0,1341.5123687119956,173494.0,88.0,110084.0,170152.0,497000.0
1159,,amg,2015.0,28-jan-2016,suv,parf car,auto,2220.0,270.0,,2996.0,3.0,29840.0,60001.0,2382.0,114348.0,100000.0,85224.0,125404.0,214300.0
1160,bmw,318i,2015.0,26-feb-2016,luxury sedan,parf car,auto,1425.0,100.0,,1499.0,1.0,13520.0,46970.0,684.0,39192.0,88523.0,27677.0,25748.0,81200.0
1161,,vezel,2015.0,08-jan-2016,suv,"parf car, sgcarmart warranty cars",auto,1190.0,96.0,,1496.0,1.0,10110.0,55889.0,682.0,30848.0,56300.0,19157.0,9157.0,53700.0
1162,honda,e,2016.0,04-mar-2016,mpv,parf car,auto,1855.0,129.0,,2356.0,1.0,12960.0,46970.0,1630.0,44188.0,126635.0,29124.0,32774.0,82500.0
1163,toyota,wish,2016.0,23-aug-2016,mpv,parf car,auto,1360.0,105.0,,1798.0,2.0,10290.0,56089.0,976.0,41782.0,72347.0,19955.0,19955.0,67100.0
1164,toyota,corolla,2010.0,11-jan-2011,mid-sized sedan,"coe car, low mileage car",auto,1195.0,90.0,,1598.0,2.0,6040.0,37303.0,816.0,34901.0,100234.0,16286.0,16286.0,62200.0
1165,volkswagen,karmann,1966.0,05-apr-2016,others,"imported used vehicle, parf car, rare & exotic, vintage cars",manual,870.0,42.5,,1584.0,3.0,14484.37163485071,4608.0,280.0,44184.92604233483,73207.97487437187,12961.0,12961.0,162800.0
1166,toyota,estima,2016.0,25-jul-2017,mpv,parf car,auto,1790.0,125.0,,2362.0,1.0,16150.0,49802.0,1638.0,59853.0,51000.0,34662.0,40527.0,127400.0
1167,toyota,hiace,2015.0,03-mar-2016,bus/mini bus,-,auto,2140.0,133.66807772380292,diesel,2982.0,2.0,12340.0,46502.0,1341.5123687119956,21021.0,73207.97487437187,39722.0,1987.0,61400.0
1168,bmw,316i,2014.0,16-jul-2014,luxury sedan,parf car,auto,1405.0,100.0,,1598.0,2.0,13430.0,63001.0,742.0,33789.0,79800.0,31404.0,25966.0,57000.0
1169,seat,arona,2019.0,16-jul-2019,suv,"parf car, premium ad car",auto,1210.0,85.0,,999.0,1.0,9420.0,30009.0,392.0,31805.0,31298.0,20588.0,10824.0,87800.0
1170,lexus,is,2008.0,10-oct-2008,luxury sedan,coe car,auto,1625.0,153.0,,2500.0,3.0,7830.0,32279.0,2340.0,23011.0,147000.0,37374.0,37374.0,61400.0
1171,mini,cooper,2011.0,29-sep-2011,hatchback,"coe car, premium ad car",auto,1295.0,88.0,,1598.0,3.0,7970.0,42283.0,742.0,40731.0,73207.97487437187,27415.0,27415.0,84500.0
1173,toyota,rush,2007.0,28-dec-2007,suv,coe car,auto,1150.0,80.0,,1495.0,2.0,10270.0,20997.0,955.0,5235.0,151000.0,16434.0,18078.0,14100.0
1174,fiat,fiorino,2017.0,28-jan-2019,van,direct owner sale,auto,1200.0,133.66807772380292,diesel,1248.0,1.0,6570.0,27002.0,1341.5123687119956,20063.0,66500.0,17155.0,858.0,53700.0
1175,bmw,520i,2019.0,13-aug-2019,luxury sedan,"parf car, low mileage car",auto,1530.0,135.0,,1998.0,1.0,19740.0,52502.0,1210.0,85288.0,4900.0,51775.0,65195.0,208900.0
1176,hyundai,verna,2007.0,14-may-2008,mid-sized sedan,"coe car, premium ad car",auto,1263.0,69.9,,1399.0,2.0,6100.0,38655.0,876.0,25841.0,197000.0,9932.0,3971.0,44900.0
1177,,civic,2017.0,03-aug-2017,mid-sized sedan,"parf car, premium ad car",auto,1324.0,127.0,,1498.0,1.0,12560.0,50101.0,684.0,48121.0,41000.0,26848.0,24588.0,95600.0
1178,,amg,2019.0,04-feb-2021,luxury sedan,"parf car, almost new car, premium ad car, low mileage car",auto,1410.0,100.0,,1332.0,1.0,15700.0,50100.0,586.0,79461.0,88.0,36304.0,42826.0,186800.0
1179,volkswagen,golf,2008.0,07-nov-2008,sports car,"coe car, direct owner sale",auto,1428.0,147.0,,1984.0,6.0,9670.0,34991.0,1552.0,24570.0,73207.97487437187,25901.0,25901.0,74700.0
1180,bmw,535i,2011.0,04-nov-2011,luxury sedan,"coe car, consignment car",auto,2015.0,225.0,,2979.0,4.0,11840.0,32914.0,2362.0,29695.0,73207.97487437187,58764.0,58764.0,117500.0
1181,audi,a4,2014.0,16-jul-2014,luxury sedan,"parf car, low mileage car",auto,1545.0,125.0,,1798.0,1.0,14430.0,63001.0,976.0,31712.0,68559.0,28970.0,22558.0,58300.0
1182,audi,a6,2012.0,12-apr-2012,luxury sedan,"parf car, premium ad car",auto,1565.0,132.0,,1984.0,1.0,41970.0,83700.0,1194.0,26920.0,157000.0,43338.0,43338.0,52800.0
1183,,hiace,2014.0,15-may-2015,van,premium ad car,manual,1780.0,133.66807772380292,diesel,2982.0,1.0,9910.0,53001.0,1341.5123687119956,19531.0,73207.97487437187,26409.0,1321.0,40200.0
1184,mercedes-benz,cla180,2018.0,26-jun-2018,luxury sedan,"parf car, premium ad car",auto,1430.0,90.0,,1595.0,1.0,14260.0,38001.0,740.0,50499.0,54000.0,29059.0,32683.0,125300.0
1186,maserati,granturismo,2013.0,30-aug-2013,sports car,"parf car, premium ad car, low mileage car",auto,1880.0,338.0,,4691.0,2.0,43920.0,76000.0,5030.0,123653.0,36448.0,116089.0,180961.0,196700.0
1187,toyota,corolla,2008.0,14-nov-2008,mid-sized sedan,coe car,auto,1130.0,81.0,,1496.0,2.0,7240.0,14835.0,887.0,6479.0,73207.97487437187,13589.0,13589.0,17400.0
1188,isuzu,nqr75u,2014.0,05-mar-2015,truck,-,manual,4580.0,133.66807772380292,diesel,5193.0,3.0,13350.0,55012.0,1341.5123687119956,19292.0,73207.97487437187,34835.0,1742.0,51500.0
1189,honda,stream,2008.0,04-jun-2008,mpv,"coe car, consignment car",auto,1370.0,103.0,,1799.0,6.0,6700.0,38712.0,1369.0,26006.0,198407.0,20643.0,20643.0,49500.0
1190,,vios,2008.0,28-mar-2008,mid-sized sedan,coe car,auto,1095.0,80.0,,1497.0,2.0,7880.0,19637.0,958.0,6230.0,73207.97487437187,12498.0,12498.0,13700.0
1191,hyundai,elantra,2014.0,18-jul-2014,mid-sized sedan,parf car,auto,1292.0,97.0,,1591.0,1.0,11150.0,61990.0,738.0,25863.0,85000.0,13185.0,13185.0,42800.0
1192,mercedes-benz,c180,2012.0,28-mar-2012,luxury sedan,"parf car, premium ad car",auto,1500.0,115.0,,1597.0,2.0,26670.0,56501.0,742.0,18477.0,148800.0,30328.0,30328.0,33900.0
1193,mazda,3,2018.0,25-sep-2018,hatchback,"parf car, low mileage car",auto,1329.0,88.0,,1496.0,1.0,9540.0,30209.0,682.0,35154.0,26000.0,18324.0,18324.0,84500.0
1194,honda,civic,2020.0,04-nov-2020,mid-sized sedan,"opc car, parf car, almost new car, low mileage car",auto,1237.0,92.0,,1597.0,1.0,8020.0,20334.0,242.0,33728.0,350.0,20025.0,20035.0,92200.0
1196,hyundai,avante,2019.0,30-sep-2019,mid-sized sedan,parf car,auto,1345.0,93.8,,1591.0,1.0,8200.0,31759.0,738.0,35332.0,37900.0,12804.0,12804.0,80100.0
1197,mercedes-benz,a200,2018.0,30-jan-2019,hatchback,"parf car, direct owner sale, low mileage car",auto,1375.0,120.0,,1332.0,1.0,14770.0,33989.0,586.0,52408.0,18500.0,31557.0,36180.0,140700.0
1198,mercedes-benz,amg,2019.0,05-jul-2019,luxury sedan,"parf car, direct owner sale",auto,1615.0,135.0,,1991.0,1.0,18800.0,48010.0,1202.0,84560.0,25000.0,50229.0,62413.0,196900.0
1199,citroen,c4,2016.0,13-jul-2016,mpv,parf car,auto,1320.0,121.4,,1598.0,2.0,11470.0,57010.0,742.0,44379.0,79996.0,26169.0,23637.0,74600.0
1200,kia,k2500,2017.0,20-jul-2018,truck,premium ad car,manual,1720.0,133.66807772380292,diesel,2497.0,2.0,7650.0,27259.0,1341.5123687119956,18820.0,73207.97487437187,16868.0,844.0,58100.0
1201,bmw,523i,2011.0,16-sep-2011,luxury sedan,"coe car, premium ad car",auto,1650.0,150.0,,2497.0,2.0,8660.0,41823.61992102917,1796.0,44184.92604233483,149000.0,43693.0,43693.0,95300.0
1202,toyota,camry,2008.0,02-jan-2009,luxury sedan,"coe car, direct owner sale",auto,1530.0,108.0,,1998.0,4.0,8880.0,15668.0,1573.0,7375.0,150000.0,25403.0,25403.0,23000.0
1203,subaru,forester,2016.0,24-nov-2016,suv,parf car,auto,1682.0,177.0,,1998.0,3.0,13000.0,56206.0,1210.0,45362.0,53000.0,20817.0,21144.0,86700.0
1204,honda,city,2017.0,18-sep-2017,mid-sized sedan,"parf car, premium ad car",auto,1096.0,88.0,,1497.0,1.0,8800.0,36001.0,684.0,31581.0,77325.0,17991.0,12991.0,65900.0
1205,toyota,sienta,2006.0,30-mar-2007,mpv,coe car,auto,1210.0,81.0,,1496.0,3.0,11490.0,24715.0,1023.0,2925.0,155000.0,15936.0,17530.0,7500.0
1206,mercedes-benz,e200,2016.0,24-jan-2017,luxury sedan,parf car,auto,1605.0,135.0,,1991.0,2.0,18210.0,50010.0,1202.0,81047.0,55000.0,57065.0,74717.0,149600.0
1207,,amg,2020.0,25-jun-2021,suv,"parf car, almost new car, low mileage car",auto,1555.0,120.0,,1332.0,1.0,18420.0,56032.0,586.0,96838.0,38.0,45454.0,55636.0,229900.0
1208,mazda,3,2015.0,30-jul-2015,mid-sized sedan,parf car,auto,1321.0,88.0,,1496.0,2.0,9420.0,55889.0,682.0,29759.0,94000.0,17002.0,12002.0,47300.0
1209,nissan,nv200,2021.0,15-jul-2021,van,"almost new car, low mileage car",auto,1220.0,133.66807772380292,petrol,1597.0,1.0,5640.0,26544.0,1341.5123687119956,26253.0,474.0,22271.0,1114.0,61400.0
1210,honda,accord,2016.0,25-may-2017,luxury sedan,"parf car, direct owner sale",auto,1530.0,114.0,,1997.0,2.0,11630.0,54406.0,1210.0,57021.0,64700.0,30336.0,34471.0,92300.0
1211,maxus,g10,2018.0,28-dec-2020,mpv,"parf car, almost new car, low mileage car",auto,2100.0,160.0,,1995.0,1.0,13010.0,45510.0,1208.0,55509.0,700.0,26094.0,28532.0,149500.0
1212,hyundai,tucson,2017.0,14-jul-2017,suv,parf car,auto,1540.0,114.0,,1999.0,1.0,11190.0,49802.0,1212.0,43232.0,71859.0,18565.0,18565.0,82600.0
1213,,fit,2019.0,24-feb-2020,hatchback,"parf car, low mileage car",auto,1030.0,73.0,,1317.0,1.0,7780.0,32999.0,578.0,32287.0,9012.0,15632.0,5632.0,75900.0
1214,honda,hr-v,2019.0,22-mar-2019,suv,"parf car, low mileage car",auto,1200.0,96.0,,1496.0,1.0,9450.0,26170.0,682.0,37098.0,24844.0,22254.0,23156.0,91100.0
1215,porsche,cayenne,2012.0,27-apr-2012,suv,"coe car, premium ad car, low mileage car, hybrid cars",auto,2315.0,245.0,petrol-electric,2995.0,3.0,15100.0,53932.0,2380.0,53134.0,91000.0,110228.0,66137.0,163700.0
1216,toyota,alphard,2010.0,17-jan-2011,mpv,coe car,auto,1920.0,125.0,,2362.0,5.0,8960.0,40714.0,1802.0,38093.0,73207.97487437187,44006.0,44006.0,92200.0
1217,audi,a3,2016.0,29-dec-2016,luxury sedan,"parf car, premium ad car, low mileage car",auto,1280.0,85.0,,999.0,3.0,12460.0,48000.0,392.0,37967.0,31000.0,24581.0,16414.0,82300.0
1219,bmw,523i,2010.0,01-nov-2010,luxury sedan,"coe car, consignment car",auto,1725.0,150.0,,2497.0,3.0,8440.0,34935.0,1976.0,31805.0,149006.0,39547.0,39547.0,84500.0
1220,lexus,gs,2008.0,18-jul-2008,luxury sedan,"coe car, premium ad car",auto,1660.0,183.0,,2995.0,2.0,12080.0,22499.0,3332.0,7187.0,137758.0,52219.0,52219.0,21200.0
1221,hyundai,i30,2009.0,26-aug-2009,hatchback,coe car,auto,1314.0,89.7,,1591.0,3.0,6410.0,27886.0,886.0,21667.0,73207.97487437187,13484.0,13484.0,54800.0
1222,,stream,2008.0,21-jan-2009,mpv,coe car,auto,1350.0,103.0,,1799.0,4.0,8230.0,15668.0,1271.0,7538.0,145098.0,22568.0,22568.0,21800.0
1223,mercedes-benz,amg,2020.0,19-may-2021,suv,"parf car, almost new car, low mileage car",auto,1554.5509259259259,120.0,,1332.0,1.0,16360.0,60001.0,586.0,87770.0,636.0,33680.0,39152.0,196700.0
1224,ferrari,f12berlinetta,2013.0,30-may-2013,sports car,"parf car, low mileage car",auto,1716.0,541.0,,6262.0,3.0,231970.0,91910.0,7488.0,265079.0,32000.0,452855.0,452855.0,693000.0
1225,honda,vezel,2015.0,19-aug-2015,suv,"parf car, premium ad car",auto,1190.0,96.0,,1496.0,1.0,10940.0,56209.0,682.0,27886.0,88480.0,18454.0,8454.0,52600.0
1226,audi,a5,2020.0,17-dec-2020,luxury sedan,"parf car, almost new car, premium ad car, hybrid cars",auto,1565.0,110.0,petrol-electric,1984.0,1.0,18090.0,45012.0,1194.0,74217.0,7000.0,36465.0,43051.0,209000.0
1227,mazda,3,2015.0,23-jun-2015,mid-sized sedan,parf car,auto,1321.0,88.0,,1496.0,1.0,10140.0,66000.0,682.0,28167.0,89000.0,14138.0,5000.0,44900.0
1228,mercedes-benz,e200,2011.0,25-nov-2011,luxury sedan,coe car,auto,1615.0,135.0,,1796.0,1.0,9290.0,41823.61992102917,974.0,44184.92604233483,73207.97487437187,52475.0,52475.0,102300.0
1229,toyota,previa,2012.0,20-dec-2012,mpv,parf car,auto,1770.0,125.0,,2362.0,1.0,13620.0,80001.0,1638.0,32270.0,73207.97487437187,39505.0,39505.0,41500.0
1230,kia,cerato,2009.0,18-jun-2009,mid-sized sedan,"coe car, premium ad car",auto,1251.0,92.7,,1591.0,3.0,6500.0,29839.0,959.0,23323.0,73207.97487437187,13989.0,13989.0,55900.0
1231,audi,a5,2010.0,27-jul-2010,sports car,"coe car, premium ad car",auto,1550.0,155.0,,1984.0,2.0,8740.0,33568.0,1433.0,29889.0,73207.97487437187,49101.0,49101.0,85600.0
1232,bentley,continental,2018.0,08-aug-2020,sports car,"parf car, rare & exotic, premium ad car",auto,2244.0,467.0,,5950.0,1.0,70460.0,34989.0,7000.0,293542.0,15027.0,213065.0,355517.0,889700.0
1233,honda,civic,2009.0,28-mar-2009,mid-sized sedan,coe car,auto,1219.0,103.0,,1799.0,3.0,7350.0,33018.0,1271.0,25067.0,130000.0,27417.0,27417.0,61400.0
1234,toyota,toyoace,2007.0,11-jun-2007,truck,coe car,manual,1800.0,133.66807772380292,diesel,2494.0,2.0,14484.37163485071,18757.0,1341.5123687119956,44184.92604233483,73207.97487437187,22626.0,38619.728507336,19600.0
1235,toyota,corolla,2015.0,05-jun-2015,mid-sized sedan,parf car,auto,1205.0,90.0,,1598.0,1.0,10610.0,66590.0,742.0,34641.0,92000.0,19589.0,14589.0,52100.0
1236,bentley,continental,2012.0,08-nov-2012,sports car,"coe car, rare & exotic, low mileage car",auto,2470.0,373.0,,3993.0,2.0,34670.0,41823.61992102917,3940.0,44184.92604233483,80000.0,201211.0,201211.0,381600.0
1237,kia,cerato,2017.0,13-nov-2017,mid-sized sedan,"parf car, premium ad car",auto,1295.0,95.3,,1591.0,1.0,8520.0,41617.0,738.0,37747.0,88809.0,15819.0,15819.0,67000.0
1238,mitsubishi,attrage,2018.0,21-nov-2018,mid-sized sedan,parf car,auto,940.0,59.0,,1193.0,1.0,7770.0,30209.0,506.0,25633.0,60000.0,13426.0,5000.0,64700.0
1239,nissan,navara,2017.0,31-may-2017,truck,premium ad car,manual,1780.0,133.66807772380292,diesel,2298.0,1.0,11410.0,30600.0,1341.5123687119956,17639.0,73207.97487437187,26535.0,1327.0,72400.0
1240,bmw,216d,2016.0,16-dec-2016,hatchback,parf car,auto,1395.0,85.0,diesel,1496.0,1.0,12000.0,52668.0,1082.0,43092.0,70934.0,27264.0,20170.0,81200.0
1241,,dyna,2014.0,23-oct-2014,truck,premium ad car,manual,1780.0,133.66807772380292,diesel,2982.0,2.0,12270.0,49901.0,1341.5123687119956,15777.0,73207.97487437187,27856.0,1393.0,42700.0
1242,toyota,isis,2007.0,30-jan-2008,mpv,coe car,auto,1400.0,97.0,,1794.0,4.0,8250.0,26136.0,1361.0,7476.0,191200.0,20352.0,22388.0,13000.0
1243,toyota,hiace,2020.0,12-aug-2020,van,premium ad car,manual,1700.0,133.66807772380292,diesel,2982.0,1.0,8900.0,23888.0,1341.5123687119956,21421.0,73207.97487437187,28138.0,1407.0,87800.0
1244,mercedes-benz,amg,2020.0,21-may-2021,suv,"parf car, almost new car, premium ad car, low mileage car",auto,2451.0,243.0,diesel,2925.0,1.0,42830.0,63002.0,3268.0,178250.0,88.0,112964.0,175336.0,555300.0
1245,,civic,2019.0,10-jun-2019,mid-sized sedan,"opc car, parf car",auto,1237.0,92.0,,1597.0,1.0,8440.0,9659.0,242.0,22562.0,27000.0,20031.0,20044.0,83400.0
1246,toyota,hiace,2020.0,22-jan-2021,van,"almost new car, premium ad car",auto,1800.0,133.66807772380292,diesel,2754.0,1.0,8810.0,27031.0,1341.5123687119956,25394.0,73207.97487437187,35105.0,1756.0,91100.0
1247,audi,a1,2015.0,20-oct-2015,hatchback,"parf car, premium ad car",auto,1165.0,70.0,,999.0,3.0,12180.0,55399.0,392.0,27518.0,73207.97487437187,21230.0,6722.0,58900.0
1248,lexus,es,2014.0,17-sep-2014,luxury sedan,"parf car, premium ad car",auto,1615.0,135.0,,2494.0,1.0,15610.0,73010.0,1792.0,53533.0,97000.0,39966.0,47953.0,79000.0
1249,nissan,x-trail,2016.0,09-mar-2016,suv,parf car,auto,1626.0,106.0,,1997.0,3.0,11340.0,54920.0,1210.0,41181.0,79000.0,22509.0,23513.0,69100.0
1250,mazda,2,2016.0,14-mar-2017,suv,parf car,auto,1265.0,115.0,,1998.0,1.0,10280.0,53001.0,1210.0,45597.0,73207.97487437187,21161.0,21626.0,74700.0
1251,volvo,s60,2015.0,16-feb-2016,mid-sized sedan,"parf car, premium ad car",auto,1748.0,187.0,,2497.0,1.0,12550.0,38610.0,1796.0,39391.0,82000.0,28261.0,31566.0,79200.0
1252,mazda,2,2015.0,23-sep-2015,mpv,"parf car, premium ad car",auto,1535.0,111.0,,1998.0,2.0,10080.0,61010.0,1210.0,37447.0,72634.0,18404.0,18404.0,54800.0
1253,toyota,c-hr,2018.0,25-jun-2018,suv,"parf car, hybrid cars",auto,1440.0,90.0,petrol-electric,1797.0,1.0,10660.0,34400.0,974.0,30834.0,32600.0,27376.0,10327.0,85600.0
1254,audi,r8,2008.0,08-may-2008,sports car,"coe car, low mileage car",auto,1565.0,309.0,,4163.0,6.0,26590.0,52271.0,5888.0,33382.0,47900.0,141479.0,141479.0,186800.0
1255,toyota,camry,2018.0,29-jun-2018,luxury sedan,parf car,auto,1475.0,133.0,,2494.0,1.0,10810.0,33900.0,1792.0,48420.0,40000.0,29723.0,33613.0,99900.0
1256,mercedes-benz,amg,2018.0,17-aug-2018,suv,"parf car, premium ad car",auto,1785.0,155.0,,1991.0,1.0,21870.0,31001.0,1202.0,68492.0,42000.0,50266.0,62479.0,202300.0
1257,mercedes-benz,sl350,2008.0,12-nov-2010,sports car,"coe car, premium ad car",auto,1825.0,232.0,,3498.0,4.0,13930.0,34935.0,3480.0,31805.0,73207.97487437187,59333.0,59333.0,139500.0
1258,toyota,allion,2008.0,14-may-2009,mid-sized sedan,"coe car, direct owner sale",auto,1200.0,81.0,,1496.0,3.0,8020.0,13088.0,887.0,7021.0,73207.97487437187,17540.0,17540.0,23700.0
1259,toyota,alphard,2021.0,01-jun-2021,mpv,"parf car, almost new car, low mileage car",auto,2030.0,134.0,,2493.0,1.0,20610.0,60001.0,1792.0,107421.0,150.0,51704.0,65068.0,257300.0
1260,porsche,macan,2016.0,18-jan-2017,suv,"parf car, premium ad car",auto,1845.0,185.0,,1984.0,2.0,27180.0,56206.0,1194.0,95209.0,75000.0,63598.0,86477.0,209000.0
1261,mercedes-benz,c180,2011.0,01-feb-2012,luxury sedan,coe car,auto,1500.0,115.0,,1597.0,1.0,7990.0,41823.61992102917,742.0,44184.92604233483,111015.0,30052.0,30052.0,87900.0
1262,honda,civic,2009.0,26-apr-2011,mid-sized sedan,"coe car, low mileage car",auto,1220.0,92.0,,1595.0,3.0,8530.0,21142.0,814.0,19740.0,80024.0,23565.0,23565.0,43800.0
1263,audi,r8,2010.0,28-sep-2010,sports car,"coe car, premium ad car, low mileage car",auto,1725.0,386.0,,5204.0,6.0,32200.0,33568.0,6417.0,29715.0,54000.0,227672.0,227672.0,313500.0
1264,mercedes-benz,cla180,2018.0,12-sep-2018,luxury sedan,parf car,auto,1430.0,90.0,,1595.0,1.0,14360.0,25000.0,740.0,40969.0,72000.0,27941.0,31118.0,128500.0
1265,nissan,fairlady,2009.0,28-dec-2009,sports car,"coe car, direct owner sale, low mileage car",manual,1490.0,245.0,,3696.0,2.0,11210.0,31335.0,4169.0,23205.0,99000.0,50809.0,50809.0,91300.0
1266,rolls-royce,phantom,2012.0,12-apr-2013,luxury sedan,"coe car, rare & exotic, low mileage car",auto,2560.0,338.0,,6749.0,3.0,79860.0,41823.61992102917,8250.0,44184.92604233483,36999.0,544412.0,544412.0,878900.0
1267,toyota,prius,2015.0,17-aug-2015,hatchback,"parf car, premium ad car, hybrid cars",auto,1310.0,100.0,petrol-electric,1797.0,2.0,11810.0,57885.0,974.0,26250.0,73207.97487437187,19152.0,5000.0,54500.0
1268,toyota,liteace,2003.0,22-apr-2003,van,"coe car, direct owner sale",manual,1280.0,133.66807772380292,diesel,2184.0,1.0,7720.0,18773.0,1341.5123687119956,6079.0,73207.97487437187,18697.0,935.0,13800.0
1269,lexus,rx,2013.0,24-apr-2013,suv,parf car,auto,1840.0,138.0,,2672.0,2.0,19760.0,66989.0,2002.0,44120.0,73207.97487437187,48555.0,59977.0,69100.0
